,Unnamed: 0,zip,latitude,longitude,Cost of Single Family Home,Rent,Normalized Ratio,School Rating,Total Crimes,job_growth_per,job_growth_per_nom,Normalized Ratio_nom,Total Crimes_nom,School Rating_nom,summary_metric
131,131,29593,34.5,-79.85,208300,608,0.706365819,2,-18,0.7,0.53,0.57,-0.01,0.47,1.56
132,132,29601,34.85,-82.4,252200,704,0.675527359,5.3,-4469,2.5,1.88,0.55,-2.49,1.24,1.18
133,133,29605,34.77,-82.38,144400,800,1.340720222,4.9,-4469,2.5,1.88,1.08,-2.49,1.15,1.62
134,134,29607,34.83,-82.37,196500,917,1.129333333,5.7,-5106,2.5,1.88,0.91,-2.84,1.33,1.28
135,135,29609,34.91,-82.39,196600,744,0.915808749,5.8,-4469,2.5,1.88,0.74,-2.49,1.36,1.49
136,136,29611,34.83,-82.46,101000,712,1.705980198,4.6,-4469,2.5,1.88,1.38,-2.49,1.08,1.85
137,137,29614,34.87,-82.36,208300,493,0.572760442,5.9,-4469,2.5,1.88,0.46,-2.49,1.38,1.24
138,138,29615,34.86,-82.3,249400,867,0.84127506,6.6,-4469,2.5,1.88,0.68,-2.49,1.54,1.62
139,139,29617,34.91,-82.47,133800,716,1.295007474,4.9,-237,2.5,1.88,1.05,-0.13,1.15,3.94
140,140,29621,34.51,-82.64,160600,813,1.225068493,5.3,-1932,2.5,1.88,0.99,-1.08,1.24,3.03
141,141,29624,34.44,-82.62,65800,622,2.287598784,4.2,-1932,2.5,1.88,1.85,-1.08,0.98,3.64
142,142,29625,34.56,-82.76,133800,760,1.374588939,6,-1932,2.5,1.88,1.11,-1.08,1.40,3.32
143,143,29627,34.52,-82.49,93800,622,1.604733475,5.6,-2130,2.5,1.88,1.30,-1.19,1.31,3.30
144,144,29628,34.09,-82.59,208300,616,0.715660106,6,-92,2.5,1.88,0.58,-0.05,1.40,3.81
145,145,29630,34.72,-82.78,143300,715,1.207466853,5.9,-530,2.5,1.88,0.98,-0.30,1.38,3.94
146,146,29631,34.68,-82.81,224700,897,0.966061415,6.3,-364,2.5,1.88,0.78,-0.20,1.47,3.93
147,147,29639,34.33,-82.38,208300,755,0.877148344,7,-18,2.5,1.88,0.71,-0.01,1.64,4.22
148,148,29640,34.88,-82.58,133700,725,1.312266268,5.9,-1042,2.5,1.88,1.06,-0.58,1.38,3.74
149,149,29642,34.82,-82.58,182600,818,1.084096386,6.2,-1042,2.5,1.88,0.88,-0.58,1.45,3.63
150,150,29644,34.69,-82.2,154800,827,1.292855297,6.2,-222,2.5,1.88,1.04,-0.12,1.45,4.25
151,151,29646,34.19,-82.15,74000,661,2.161648649,4,-1854,2.5,1.88,1.75,-1.03,0.94,3.53
152,152,29649,34.24,-82.15,116900,714,1.478083832,3.6,-1854,2.5,1.88,1.19,-1.03,0.84,2.88
153,153,29650,34.9,-82.26,218300,947,1.049812185,6.9,-881,2.5,1.88,0.85,-0.49,1.62,3.85
154,154,29651,34.93,-82.23,170800,739,1.04706089,8.1,-1033,2.5,1.88,0.85,-0.58,1.90,4.05
155,155,29654,34.44,-82.39,90200,587,1.574878049,5.3,-274,2.5,1.88,1.27,-0.15,1.24,4.24
156,156,29655,34.3,-82.66,75200,731,2.352420213,5,-13,2.5,1.88,1.90,-0.01,1.17,4.94
157,157,29657,34.79,-82.69,126900,738,1.407375887,5,-132,2.5,1.88,1.14,-0.07,1.17,4.11
158,158,29662,34.78,-82.3,172700,896,1.255541401,6.4,-637,2.5,1.88,1.01,-0.35,1.50,4.04
159,159,29666,34.17,-82.02,208300,655,0.760969755,5.2,-41,2.5,1.88,0.62,-0.02,1.22,3.69
160,160,29669,34.64,-82.46,120600,652,1.308325041,5.5,-176,2.5,1.88,1.06,-0.10,1.29,4.13
161,161,29670,34.65,-82.78,132500,601,1.097675472,6.8,-364,2.5,1.88,0.89,-0.20,1.59,4.16
162,162,29671,34.88,-82.7,143600,682,1.149331476,5.3,-191,2.5,1.88,0.93,-0.11,1.24,3.94
163,163,29672,34.75,-82.93,239400,838,0.847101086,5.3,-611,2.5,1.88,0.68,-0.34,1.24,3.46
164,164,29676,34.89,-82.97,239900,757,0.763626511,5.5,0,2.5,1.88,0.62,0.00,1.29,3.78
165,165,29678,34.68,-82.95,136700,727,1.287008047,5,-611,2.5,1.88,1.04,-0.34,1.17,3.75
166,166,29680,34.69,-82.29,193200,984,1.232546584,6.1,-1854,2.5,1.88,1.00,-1.03,1.43,3.27
167,167,29681,34.73,-82.25,232200,1026,1.069302326,6.8,-1854,2.5,1.88,0.86,-1.03,1.59,3.30
168,168,29687,34.91,-82.31,170800,780,1.105152225,7,-881,2.5,1.88,0.89,-0.49,1.64,3.92
169,169,29690,34.96,-82.43,179000,734,0.992335196,8.5,-237,2.5,1.88,0.80,-0.13,1.99,4.54
170,170,29691,34.77,-83.06,130200,665,1.236021505,5.2,-163,2.5,1.88,1.00,-0.09,1.22,4.00
171,171,29692,34.39,-82.24,208300,718,0.834162266,4.3,-121,2.5,1.88,0.67,-0.07,1.01,3.49
172,172,29693,34.66,-83.09,137800,636,1.116923077,5,-121,2.5,1.88,0.90,-0.07,1.17,3.88
173,173,29696,34.76,-83.04,154900,870,1.359199484,5.3,-163,2.5,1.88,1.10,-0.09,1.24,4.13
174,174,29697,34.61,-82.47,119300,699,1.417921207,6.4,-165,2.5,1.88,1.15,-0.09,1.50,4.43
175,175,29702,35.12,-81.51,93400,668,1.730792291,4,-202,2,1.50,1.40,-0.11,0.94,3.73
176,176,29706,34.7,-81.21,208300,581,0.6749976,2.2,-395,-0.7,-0.53,0.55,-0.22,0.51,0.31
177,177,29708,35.05,-80.99,320200,1191,0.900131168,8.1,-365,2,1.50,0.73,-0.20,1.90,3.92
178,178,29710,35.11,-81.22,204600,956,1.130752688,7.2,-377,2,1.50,0.91,-0.21,1.69,3.89
179,179,29714,34.7,-80.89,208300,691,0.802794047,6,-86,-0.7,-0.53,0.65,-0.05,1.40,1.48
180,180,29715,35,-80.94,225400,953,1.023185448,8.8,-317,2,1.50,0.83,-0.18,2.06,4.21
181,181,29720,34.72,-80.77,121700,667,1.326327034,3,-1064,-0.7,-0.53,1.07,-0.59,0.70,0.66
182,182,29745,34.99,-81.23,170700,809,1.146912712,4.4,-433,2,1.50,0.93,-0.24,1.03,3.22
183,183,29801,33.54,-81.72,94700,768,1.962576558,4.1,-1443,-0.7,-0.53,1.59,-0.80,0.96,1.22
184,184,29803,33.49,-81.76,156900,908,1.400484385,5.5,-1526,-0.7,-0.53,1.13,-0.85,1.29,1.04
185,185,29809,33.41,-81.68,71100,682,2.321293952,4.8,-83,-0.7,-0.53,1.88,-0.05,1.12,2.43
186,186,29810,33,-81.3,208300,568,0.659894383,1.3,-244,1.6,1.20,0.53,-0.14,0.30,1.90
187,187,29812,33.24,-81.36,208300,671,0.779558329,3.3,-382,-0.7,-0.53,0.63,-0.21,0.77,0.66
188,188,29817,33.36,-81.28,208300,556,0.645952952,2.2,-68,-0.7,-0.53,0.52,-0.04,0.51,0.47
189,189,29824,33.78,-81.93,208300,593,0.68893903,8,-74,-0.7,-0.53,0.56,-0.04,1.87,1.86
190,190,29827,32.95,-81.23,208300,626,0.727277964,0,-63,1.6,1.20,0.59,-0.04,0.00,1.76
191,191,29829,33.56,-81.81,116400,634,1.318109966,4,-26,-0.7,-0.53,1.07,-0.01,0.94,1.46
192,192,29831,33.32,-81.79,86400,627,1.756180556,4,-62,-0.7,-0.53,1.42,-0.03,0.94,1.80
193,193,29835,33.91,-82.29,208300,482,0.559980797,2,-95,2.5,1.88,0.45,-0.05,0.47,2.75
194,194,29841,33.51,-81.95,113400,746,1.591992945,4.7,-1029,-0.7,-0.53,1.29,-0.57,1.10,1.29
195,195,29847,33.74,-81.84,208300,859,0.997974076,3.5,-74,-0.7,-0.53,0.81,-0.04,0.82,1.06
196,196,29851,33.51,-81.82,77500,685,2.138967742,4.1,-1469,-0.7,-0.53,1.73,-0.82,0.96,1.34
197,197,29853,33.4,-81.42,208300,572,0.664541527,3.3,-164,-0.7,-0.53,0.54,-0.09,0.77,0.69
198,198,29909,32.3,-80.92,283800,1269,1.082093023,6.5,-669,1.6,1.20,0.87,-0.37,1.52,3.23
199,199,29911,32.92,-81.18,208300,646,0.750513682,0,0,1.6,1.20,0.61,0.00,0.00,1.81
200,200,29918,32.75,-81.24,208300,589,0.684291887,1.7,-167,1.6,1.20,0.55,-0.09,0.40,2.06
201,201,29924,32.86,-81.1,208300,624,0.724954393,4.2,-196,1.6,1.20,0.59,-0.11,0.98,2.66
202,202,29927,32.27,-81.07,147400,921,1.512089552,8,-686,1.6,1.20,1.22,-0.38,1.87,3.92
203,203,29935,32.38,-80.69,171800,980,1.380442375,4.6,-1268,1.6,1.20,1.12,-0.71,1.08,2.69
204,204,29940,32.56,-80.73,230300,872,0.916300478,2.5,-998,1.6,1.20,0.74,-0.56,0.59,1.97
205,205,29944,32.85,-81.08,208300,612,0.711012962,4,-196,1.6,1.20,0.57,-0.11,0.94,2.60
